order,alpha_factor,distance_fro_receiver,x,y,z,dB
0,1,56.570752160458326,42.5,7.5,4.5,76.0257018662259
1,0.8,60.21004899516359,42.5,92.5,4.5,74.43499171229911
1,0.8,56.570752160458326,42.5,7.5,4.5,75.05660173614534
1,0.7,3.570714214271425,5.0,45.0,4.5,99.6394923140671
1,0.7,54.942081803852105,28.529411764705884,-0.882352941176471,4.5,74.76625206526447
1,0.9,101.8895304488854,91.70754716981133,-1.7264150943396253,4.5,69.46030012078202
2,0.6400000000000001,47.172555580549165,42.5,22.5,4.5,75.87232566325787
2,0.6400000000000001,60.21004899516359,42.5,92.5,4.5,73.46589158221855
2,0.5599999999999999,49.68533337858543,-46.470588235294116,39.117647058823536,4.5,74.78634560162955
2,0.5599999999999999,64.12322872047588,55.19230769230769,84.03846153846155,4.5,72.25294881989437
2,0.7200000000000001,123.69417932950604,122.5,77.5,4.5,66.3270740405471
2,0.6400000000000001,60.21004899516359,42.5,92.5,4.5,73.46589158221855
2,0.6400000000000001,56.570752160458326,42.5,7.5,4.5,74.08750160606478
2,0.5599999999999999,3.570714214271425,5.0,45.0,4.5,98.67039218398654
2,0.5599999999999999,54.942081803852105,28.529411764705884,-0.882352941176471,4.5,73.7971519351839
2,0.7200000000000001,101.8895304488854,91.70754716981133,-1.7264150943396253,4.5,68.49119999070146
2,0.5599999999999999,47.5683718451662,50.0,45.0,4.5,75.2111200593801
2,0.5599999999999999,7.92148975887743,5.0,55.0,4.5,91.65363375784915
2,0.48999999999999994,28.441234961826925,25.769230769230774,31.15384615384616,4.5,79.51942031609727
2,0.48999999999999994,10.85804120564706,13.088235294117649,49.852941176470594,4.5,88.27021375969481
2,0.63,140.53507921713367,140.24528301886792,19.641509433962256,4.5,64.26792231022036
2,0.5599999999999999,59.392389094503855,28.529411764705884,100.88235294117646,4.5,73.02272544549459
2,0.5599999999999999,53.997140447162465,26.470588235294116,-0.882352941176471,4.5,73.9686289268664
2,0.48999999999999994,17.49663833258196,-3.382352941176471,31.029411764705884,4.5,83.98009301855305
2,0.48999999999999994,55.00227268031749,28.38235294117647,-1.029411764705884,4.5,73.20639771217658
2,0.63,117.0293973996101,101.69256381798002,-14.60044395116537,4.5,66.37487472186
2,0.7200000000000001,50.08262041791073,-6.707547169811335,-1.7264150943396253,4.5,75.79987272701283
2,0.7200000000000001,104.39703332009842,91.70754716981133,101.72641509433963,4.5,68.22485959031155
2,0.63,47.19205041785651,-4.226415094339629,94.20754716981133,4.5,75.79991365929745
2,0.63,96.77271649100136,13.513873473917855,-48.642619311875706,4.5,68.47138995090955
2,0.81,56.570752160458326,42.5,7.5,4.5,75.11055205501239
